ID	sample_11	sample_17	sample_24	sample_30	sample_37	sample_50
ENSGMOG00000005626	181	81	162	156	204	149
ENSGMOG00000005653	348	288	284	291	185	1154
ENSGMOG00000005670	13	10	2	7	6	4
ENSGMOG00000005702	0	1	0	1	6	0
ENSGMOG00000005738	0	4	0	0	0	0
ENSGMOG00000005763	3751	9776	9610	8518	10678	1043
ENSGMOG00000005793	2015	2225	1581	1761	2010	763
ENSGMOG00000005842	24389	46761	30987	65645	81253	41803
ENSGMOG00000005855	16	63	13	21	138	0
ENSGMOG00000005888	410	630	60	325	748	1
ENSGMOG00000005919	2255	2401	1146	1374	1809	449
ENSGMOG00000005956	1139	1039	658	1109	1113	1465
ENSGMOG00000005974	655	551	571	465	492	955
ENSGMOG00000005990	424	306	382	301	247	362
ENSGMOG00000006002	800	439	273	272	471	28
ENSGMOG00000006053	13	2	3	5	2	5
ENSGMOG00000006061	63	3	29	33	39	0
ENSGMOG00000006071	412	0	51	332	464	23
ENSGMOG00000006078	4184	1044	2335	2589	3919	274
ENSGMOG00000006114	664	441	366	366	407	75
ENSGMOG00000006149	84	15	50	53	17	3
ENSGMOG00000006171	4338	1666	1213	1692	1143	490
ENSGMOG00000006210	458	166	818	213	200	118
ENSGMOG00000006238	8	4	1	3	7	4
ENSGMOG00000006249	648	237	311	659	419	13
ENSGMOG00000006267	654	454	389	434	335	129
ENSGMOG00000006293	555	437	378	360	427	1082
ENSGMOG00000006308	13	1	2	1	1	0
ENSGMOG00000006321	453	166	243	117	120	10
ENSGMOG00000006328	210	52	31	150	360	2
ENSGMOG00000006350	8	1	2	9	18	0
ENSGMOG00000006369	4	0	0	1	1	0
ENSGMOG00000006397	67	26	20	39	89	0
ENSGMOG00000006411	2629	1406	1111	1071	1847	187
ENSGMOG00000006428	0	0	1	0	0	0
ENSGMOG00000006439	885	814	953	738	1073	204
ENSGMOG00000006452	0	0	0	2	0	0
ENSGMOG00000006465	347	220	325	224	278	0
ENSGMOG00000006472	1050	393	426	153	341	42
ENSGMOG00000006481	526	516	219	38	340	8
ENSGMOG00000006525	240	278	139	23	129	1
ENSGMOG00000006562	158	59	28	38	93	12
ENSGMOG00000006574	8249	6410	6337	5722	7112	3243
ENSGMOG00000006620	490	393	254	732	403	161
ENSGMOG00000020453	14	8	11	14	7	16
ENSGMOG00000006644	191	185	96	130	174	227
ENSGMOG00000006653	1	1	0	1	0	0
ENSGMOG00000006662	630	440	397	539	366	201
ENSGMOG00000006678	560	312	354	626	518	244
ENSGMOG00000006694	0	0	0	0	13	6
ENSGMOG00000006718	1	0	0	0	0	0
ENSGMOG00000006726	0	0	0	0	0	0
ENSGMOG00000006756	5	0	1	0	0	0
ENSGMOG00000006784	4	0	0	0	6	0
ENSGMOG00000006794	221	96	107	131	136	56
ENSGMOG00000006828	1297	699	771	550	857	53
ENSGMOG00000006874	1805	1217	746	1000	1044	418
ENSGMOG00000006952	3322	2274	1635	1842	2639	117
ENSGMOG00000007009	169	54	88	167	117	283
ENSGMOG00000001240	9	1	0	0	0	0
ENSGMOG00000001312	0	0	0	0	0	0
ENSGMOG00000019951	8	3	6	5	16	6
ENSGMOG00000001318	1	1	1	0	1	0
ENSGMOG00000001463	2	9	6	4	0	4
ENSGMOG00000001489	3098	1775	1327	1154	2396	782
ENSGMOG00000001525	5	1	1	5	0	0
ENSGMOG00000001551	0	0	0	0	0	0
ENSGMOG00000001576	1	6	6	4	6	0
ENSGMOG00000001631	1948	862	586	957	938	39
ENSGMOG00000001656	107	36	27	45	24	0
ENSGMOG00000001768	115	56	36	26	47	27
ENSGMOG00000001785	168	123	88	31	63	7
ENSGMOG00000001838	1693	952	579	706	821	1474
ENSGMOG00000001945	974	772	765	812	1228	106
ENSGMOG00000001963	15	13	5	21	13	3
ENSGMOG00000022086	0	0	0	0	0	0
ENSGMOG00000019954	0	0	0	0	0	0
ENSGMOG00000001991	0	2	0	0	0	0
ENSGMOG00000019955	0	6	1	0	0	0
ENSGMOG00000002003	610	243	517	250	297	105
ENSGMOG00000002007	89	60	101	114	63	30
ENSGMOG00000002029	3	4	0	2	1	0
ENSGMOG00000002062	1074	796	663	518	589	354
ENSGMOG00000002080	1021	943	534	496	873	486
ENSGMOG00000002131	103	110	88	39	103	159
ENSGMOG00000002155	1253	4	681	1009	112	2451
ENSGMOG00000002187	1951	1795	1259	1401	2140	78
ENSGMOG00000002225	87844	48635	63746	60486	49931	53188
ENSGMOG00000002244	1061	616	4273	453	1169	45
ENSGMOG00000002269	1	0	1	0	0	0
ENSGMOG00000002293	0	1	2	4	2	0
ENSGMOG00000002305	1470	755	848	776	1070	41
ENSGMOG00000002345	714	539	331	460	420	195
ENSGMOG00000002390	262	131	80	164	242	68
ENSGMOG00000002400	374	393	204	249	455	181
ENSGMOG00000002409	1522	674	746	784	1075	185
ENSGMOG00000002435	4109	3318	3153	3117	6936	142
ENSGMOG00000002510	569	187	341	237	366	98
ENSGMOG00000002524	1139	513	748	610	767	139
ENSGMOG00000002535	225	164	164	4	30	2
ENSGMOG00000002545	46990	20529	11276	2004	1508	47048
ENSGMOG00000002552	434	262	657	187	202	76
ENSGMOG00000002562	1283	1553	491	766	622	777
ENSGMOG00000002587	19	38	5	13	23	11
ENSGMOG00000002593	12	8	3	27	22	0
ENSGMOG00000002677	176	224	107	93	158	194
ENSGMOG00000002709	1200	484	816	510	768	19
ENSGMOG00000002739	0	0	0	0	0	0
ENSGMOG00000002743	414	220	136	216	197	52
ENSGMOG00000002826	2478	1460	1311	1626	1434	102
ENSGMOG00000002854	3	0	0	0	1	0
ENSGMOG00000002863	1	0	0	1	0	0
ENSGMOG00000002886	94	55	40	21	48	8
ENSGMOG00000002950	1356	666	877	830	750	215
ENSGMOG00000004976	451	275	759	432	292	512
ENSGMOG00000004983	0	2	0	0	5	0
ENSGMOG00000004992	269	175	262	147	215	1
ENSGMOG00000005009	889	592	601	501	618	35
ENSGMOG00000005048	2	10	0	0	7	0
ENSGMOG00000005068	0	0	0	0	0	0
ENSGMOG00000005073	3	1	1	2	1	0
ENSGMOG00000005099	195	129	121	121	195	30
ENSGMOG00000005129	1237	1106	907	818	780	1867
ENSGMOG00000005155	4	7	0	1	4	13
